"",epoch,loss,ppl,wps,ups,wpb,bsz,num_updates,lr,gnorm,clip,oom,loss_scale,wall,train_wall,ke_loss,mlm_loss
0,11,4.663,25.34,7801,0,1299056.154,4563.385,13,0.000584,6.612,0.0,0.0,2.0,2161,69046,1.048970,3.614440
1,12,2.395,5.26,7639,0,1299056.154,4563.385,26,0.000517,2.211,0.0,0.0,2.0,4435,71162,0.722805,1.671970
2,13,1.230,2.35,7718,0,1299056.154,4563.385,39,0.000449,1.910,0.0,0.0,2.0,6690,73259,0.652820,0.577021
3,14,0.789,1.73,7627,0,1299056.154,4563.385,52,0.000381,1.036,0.0,0.0,2.0,8962,75373,0.589479,0.199266
4,15,0.632,1.55,7676,0,1299056.154,4563.385,65,0.000313,0.969,0.0,0.0,2.0,11218,77477,0.549949,0.082085
5,16,0.561,1.47,7717,0,1299056.154,4563.385,78,0.000245,0.837,0.0,0.0,2.0,13468,79574,0.518446,0.042153
6,17,0.517,1.43,8760,0,1299056.154,4563.385,91,0.000177,0.659,0.0,0.0,2.0,15473,81443,0.491817,0.025074
7,18,0.486,1.40,7093,0,1299056.154,4563.385,104,0.000110,0.607,0.0,0.0,2.0,17874,83685,0.467501,0.018829
8,20,0.456,1.37,7195,0,1299056.154,4563.385,130,0.000000,0.593,0.0,0.0,4.0,22414,87925,0.440974,0.014878
9,21,0.455,1.37,7721,0,1299056.154,4563.385,143,0.000000,0.542,0.0,0.0,4.0,24657,90012,0.439743,0.014909
10,22,0.455,1.37,7681,0,1299056.154,4563.385,156,0.000000,0.673,0.0,0.0,4.0,26911,92115,0.439544,0.014975
11,23,0.455,1.37,7672,0,1299056.154,4563.385,169,0.000000,1.484,0.0,0.0,4.0,29172,94223,0.439743,0.014894
12,24,0.455,1.37,7805,0,1299056.154,4563.385,182,0.000000,0.658,0.0,0.0,4.0,31399,96295,0.439647,0.014994
13,25,0.455,1.37,7762,0,1299056.154,4563.385,195,0.000000,0.653,0.0,0.0,4.0,33629,98375,0.439565,0.014938
14,26,0.454,1.37,7592,0,1299056.154,4563.385,208,0.000000,0.736,0.0,0.0,4.0,35915,100502,0.439344,0.014705
15,27,0.455,1.37,7649,0,1299056.154,4563.385,221,0.000000,0.560,0.0,0.0,4.0,38184,102609,0.439864,0.014795
16,28,0.455,1.37,7504,0,1299056.154,4563.385,234,0.000000,0.603,0.0,0.0,4.0,40489,104757,0.440007,0.014800
17,29,0.455,1.37,7343,0,1299056.154,4563.385,247,0.000000,0.543,0.0,0.0,4.0,42843,106910,0.440028,0.014800
18,30,0.455,1.37,7242,0,1299056.154,4563.385,260,0.000000,0.689,0.0,0.0,8.0,45236,109038,0.440236,0.014799
