"",epoch,loss,ppl,wps,ups,wpb,bsz,num_updates,lr,gnorm,clip,oom,loss_scale,wall,train_wall,ke_loss,mlm_loss
0,11,5.847,57.57,7886,0,1234385.6,4509.6,5,0.000030,12.632,0.0,0.0,2.0,784,67741,1.360550,4.486680
1,12,5.122,34.83,7843,0,1234385.6,4509.6,10,0.000060,6.770,0.0,0.0,2.0,1601,68501,1.168410,3.953830
2,13,4.213,18.55,7949,0,1234385.6,4509.6,15,0.000090,4.510,0.0,0.0,2.0,2409,69252,1.047800,3.165380
3,14,3.157,8.92,7861,0,1234385.6,4509.6,20,0.000120,3.148,0.0,0.0,2.0,3221,70008,0.936349,2.220600
4,15,2.129,4.37,7866,0,1234385.6,4509.6,25,0.000150,2.146,0.0,0.0,2.0,4033,70767,0.886967,1.241740
5,16,1.326,2.51,7806,0,1234385.6,4509.6,30,0.000180,1.337,0.0,0.0,2.0,4848,71530,0.853221,0.473234
6,17,0.943,1.92,7870,0,1234385.6,4509.6,35,0.000210,0.742,0.0,0.0,2.0,5657,72288,0.828725,0.114575
7,18,0.835,1.78,7797,0,1234385.6,4509.6,40,0.000240,0.557,0.0,0.0,2.0,6474,73052,0.804885,0.030363
8,19,0.797,1.74,7877,0,1234385.6,4509.6,45,0.000270,0.882,0.0,0.0,2.0,7285,73808,0.784544,0.012654
9,20,0.773,1.71,7863,0,1234385.6,4509.6,50,0.000300,1.163,0.0,0.0,2.0,8096,74567,0.765880,0.006770
10,21,0.749,1.68,7845,0,1234385.6,4509.6,55,0.000330,1.405,0.0,0.0,2.0,8907,75325,0.744586,0.004249
11,22,0.715,1.64,7798,0,1234385.6,4509.6,60,0.000360,0.944,0.0,0.0,2.0,9723,76088,0.712033,0.003073
12,23,0.691,1.61,7849,0,1234385.6,4509.6,65,0.000390,1.153,0.0,0.0,2.0,10536,76847,0.688609,0.002297
13,24,0.669,1.59,7793,0,1234385.6,4509.6,70,0.000420,1.316,0.0,0.0,2.0,11355,77611,0.666859,0.001867
14,25,0.657,1.58,7883,0,1234385.6,4509.6,75,0.000450,1.666,0.0,0.0,2.0,12165,78371,0.654964,0.001652
15,26,0.628,1.54,7848,0,1234385.6,4509.6,80,0.000480,1.308,0.0,0.0,2.0,12978,79131,0.625981,0.001617
16,27,0.600,1.52,7895,0,1234385.6,4509.6,85,0.000510,0.944,0.0,0.0,2.0,13789,79890,0.598095,0.001461
17,28,0.579,1.49,7851,0,1234385.6,4509.6,90,0.000540,1.065,0.0,0.0,2.0,14600,80648,0.578033,0.001352
18,29,0.557,1.47,7844,0,1234385.6,4509.6,95,0.000570,1.146,0.0,0.0,2.0,15410,81406,0.555505,0.001290
19,30,0.543,1.46,7851,0,1234385.6,4509.6,100,0.000600,1.131,0.0,0.0,2.0,16221,82166,0.542035,0.001314
20,31,0.538,1.45,7825,0,1234385.6,4509.6,105,0.000597,1.276,0.0,0.0,2.0,17036,82927,0.536491,0.001314
21,32,0.513,1.43,7820,0,1234385.6,4509.6,110,0.000595,0.761,0.0,0.0,2.0,17851,83689,0.511742,0.001215
22,33,0.506,1.42,7838,0,1234385.6,4509.6,115,0.000592,1.368,0.0,0.0,2.0,18665,84452,0.504492,0.001204
23,34,0.496,1.41,7878,0,1234385.6,4509.6,120,0.000590,1.308,0.0,0.0,2.0,19473,85208,0.495142,0.001062
24,35,0.478,1.39,7893,0,1234385.6,4509.6,125,0.000587,0.874,0.0,0.0,2.0,20281,85963,0.477363,0.001114
25,36,0.467,1.38,7802,0,1234385.6,4509.6,130,0.000584,0.968,0.0,0.0,4.0,21095,86724,0.465966,0.000985
26,37,0.452,1.37,8241,0,1234385.6,4509.6,135,0.000582,0.649,0.0,0.0,4.0,21878,87453,0.451222,0.000968
27,38,0.439,1.36,7769,0,1234385.6,4509.6,140,0.000579,0.593,0.0,0.0,4.0,22693,88217,0.437920,0.000922
28,39,0.438,1.35,7773,0,1234385.6,4509.6,145,0.000577,1.082,0.0,0.0,4.0,23512,88983,0.436220,0.001462
29,40,0.433,1.35,7801,0,1234385.6,4509.6,150,0.000574,0.931,0.0,0.0,4.0,24323,89743,0.430258,0.002441
30,41,0.427,1.34,7729,0,1234385.6,4509.6,155,0.000571,0.688,0.0,0.0,4.0,25144,90512,0.423979,0.002546
31,42,0.420,1.34,7799,0,1234385.6,4509.6,160,0.000569,0.730,0.0,0.0,4.0,25956,91271,0.417727,0.001790
32,43,0.412,1.33,7784,0,1234385.6,4509.6,165,0.000566,0.856,0.0,0.0,4.0,26773,92036,0.410606,0.001307
33,44,0.406,1.32,7855,0,1234385.6,4509.6,170,0.000563,0.685,0.0,0.0,4.0,27584,92797,0.404634,0.001085
34,45,0.397,1.32,7816,0,1234385.6,4509.6,175,0.000561,0.415,0.0,0.0,4.0,28400,93560,0.396192,0.000929
35,46,0.395,1.31,7810,0,1234385.6,4509.6,180,0.000558,0.707,0.0,0.0,4.0,29216,94324,0.393960,0.001018
36,47,0.394,1.31,7757,0,1234385.6,4509.6,185,0.000556,0.782,0.0,0.0,4.0,30036,95091,0.393086,0.000905
37,48,0.391,1.31,7817,0,1234385.6,4509.6,190,0.000553,0.751,0.0,0.0,4.0,30851,95853,0.390664,0.000743
38,49,0.387,1.31,7754,0,1234385.6,4509.6,195,0.000550,0.579,0.0,0.0,4.0,31669,96622,0.385994,0.000726
39,50,0.380,1.30,7782,0,1234385.6,4509.6,200,0.000548,0.489,0.0,0.0,4.0,32488,97389,0.379673,0.000576
40,51,0.389,1.31,7086,0,1234385.6,4509.6,205,0.000545,0.926,0.0,0.0,4.0,33368,98214,0.388124,0.000555
41,52,0.383,1.30,7905,0,1234385.6,4509.6,210,0.000543,0.628,0.0,0.0,4.0,34174,98967,0.382151,0.000521
42,53,0.374,1.30,7790,0,1234385.6,4509.6,215,0.000540,0.418,0.0,0.0,4.0,34991,99732,0.373694,0.000531
43,54,0.372,1.29,6991,0,1234385.6,4509.6,220,0.000537,0.603,0.0,0.0,4.0,35880,100566,0.371380,0.000460
44,55,0.377,1.30,7794,0,1234385.6,4509.6,225,0.000535,0.940,0.0,0.0,4.0,36707,101340,0.374192,0.002340
45,56,1.685,3.21,7806,0,1234385.6,4509.6,230,0.000532,22.530,0.0,0.0,4.0,37522,102103,0.426666,1.258120
46,57,1.205,2.30,7707,0,1234385.6,4509.6,235,0.000530,7.859,0.0,0.0,4.0,38350,102876,0.512536,0.692134
47,58,0.592,1.51,7824,0,1234385.6,4509.6,240,0.000527,1.312,0.0,0.0,4.0,39166,103639,0.495178,0.096804
48,59,0.498,1.41,7774,0,1234385.6,4509.6,245,0.000524,0.679,0.0,0.0,4.0,39985,104403,0.467914,0.029849
49,60,0.458,1.37,7796,0,1234385.6,4509.6,250,0.000522,0.564,0.0,0.0,4.0,40802,105170,0.443366,0.014438
50,61,0.429,1.35,7813,0,1234385.6,4509.6,255,0.000519,0.464,0.0,0.0,4.0,41619,105936,0.421339,0.007637
51,62,0.412,1.33,7819,0,1234385.6,4509.6,260,0.000517,0.507,0.0,0.0,8.0,42434,106697,0.407775,0.004629
52,63,0.399,1.32,7751,0,1234385.6,4509.6,265,0.000514,0.446,0.0,0.0,8.0,43254,107465,0.395326,0.003810
53,64,0.389,1.31,7594,0,1234385.6,4509.6,270,0.000511,0.483,0.0,0.0,8.0,44091,108244,0.387030,0.002412
54,65,0.381,1.30,7737,0,1234385.6,4509.6,275,0.000509,0.521,0.0,0.0,8.0,44914,109015,0.378981,0.001700
55,66,0.375,1.30,7804,0,1234385.6,4509.6,280,0.000506,0.405,0.0,0.0,8.0,45730,109780,0.373963,0.001353
56,67,0.370,1.29,7797,0,1234385.6,4509.6,285,0.000503,0.294,0.0,0.0,8.0,46547,110544,0.369220,0.001198
57,68,0.367,1.29,7806,0,1234385.6,4509.6,290,0.000501,0.364,0.0,0.0,8.0,47364,111307,0.365594,0.001052
58,69,0.363,1.29,7771,0,1234385.6,4509.6,295,0.000498,0.326,0.0,0.0,8.0,48183,112075,0.362192,0.001083
59,70,0.361,1.28,7785,0,1234385.6,4509.6,300,0.000496,0.379,0.0,0.0,8.0,49001,112841,0.359697,0.000863
60,71,0.361,1.28,7765,0,1234385.6,4509.6,305,0.000493,0.572,0.0,0.0,8.0,49821,113608,0.359858,0.000840
61,72,0.356,1.28,7860,0,1234385.6,4509.6,310,0.000490,0.337,0.0,0.0,8.0,50635,114368,0.354708,0.000801
62,73,0.354,1.28,7964,0,1234385.6,4509.6,315,0.000488,0.459,0.0,0.0,8.0,51424,115109,0.353614,0.000617
63,74,0.352,1.28,7780,0,1234385.6,4509.6,320,0.000485,0.459,0.0,0.0,8.0,52243,115876,0.351528,0.000829
64,75,0.350,1.27,7747,0,1234385.6,4509.6,325,0.000483,0.353,0.0,0.0,8.0,53061,116642,0.349760,0.000736
65,76,0.350,1.27,7773,0,1234385.6,4509.6,330,0.000480,0.492,0.0,0.0,8.0,53881,117409,0.349789,0.000606
66,77,0.349,1.27,7672,0,1234385.6,4509.6,335,0.000477,0.482,0.0,0.0,8.0,54707,118179,0.348126,0.000588
67,78,0.347,1.27,7734,0,1234385.6,4509.6,340,0.000475,0.317,0.0,0.0,8.0,55542,118955,0.346482,0.000530
68,79,0.344,1.27,7821,0,1234385.6,4509.6,345,0.000472,0.264,0.0,0.0,8.0,56354,119712,0.343274,0.000479
69,80,0.344,1.27,7824,0,1234385.6,4509.6,350,0.000470,0.366,0.0,0.0,8.0,57167,120469,0.343443,0.000466
70,81,0.345,1.27,7836,0,1234385.6,4509.6,355,0.000467,0.614,0.0,0.0,8.0,57975,121226,0.344541,0.000588
