"",epoch,loss,ppl,wps,ups,wpb,bsz,num_updates,lr,gnorm,clip,oom,loss_scale,wall,train_wall,ke_loss,mlm_loss
0,11,5.100,34.29,8911,0,1209174.625,4477.0,8,0.000480,11.928,0.0,0.0,2.0,1088,68012,1.110860,3.989030
1,12,2.000,4.00,8883,0,1209174.625,4477.0,16,0.000569,4.616,0.0,0.0,2.0,2207,69043,0.839977,1.160150
2,13,0.819,1.76,8905,0,1209174.625,4477.0,24,0.000527,1.405,0.0,0.0,2.0,3318,70072,0.714076,0.105381
3,14,0.650,1.57,8830,0,1209174.625,4477.0,32,0.000485,0.680,0.0,0.0,2.0,4437,71108,0.629279,0.020318
4,15,0.603,1.52,8827,0,1209174.625,4477.0,40,0.000443,0.549,0.0,0.0,2.0,5561,72149,0.597250,0.006229
5,16,0.581,1.50,8949,0,1209174.625,4477.0,48,0.000402,0.475,0.0,0.0,2.0,6669,73174,0.577725,0.002997
6,17,0.564,1.48,8941,0,1209174.625,4477.0,56,0.000360,0.396,0.0,0.0,2.0,7776,74199,0.562044,0.001999
7,18,0.553,1.47,8872,0,1209174.625,4477.0,64,0.000318,0.353,0.0,0.0,2.0,8892,75233,0.551266,0.001579
8,19,0.545,1.46,8833,0,1209174.625,4477.0,72,0.000277,0.392,0.0,0.0,2.0,10011,76271,0.543077,0.001513
9,20,0.539,1.45,8757,0,1209174.625,4477.0,80,0.000235,0.215,0.0,0.0,2.0,11147,77324,0.537344,0.001518
10,21,0.534,1.45,8752,0,1209174.625,4477.0,88,0.000193,0.235,0.0,0.0,2.0,12276,78368,0.532697,0.001429
11,22,0.531,1.44,8805,0,1209174.625,4477.0,96,0.000151,0.257,0.0,0.0,2.0,13401,79408,0.529974,0.001076
12,23,0.527,1.44,8876,0,1209174.625,4477.0,104,0.000110,0.304,0.0,0.0,2.0,14517,80441,0.526468,0.001016
13,26,0.523,1.44,8817,0,1209174.625,4477.0,128,0.000000,0.200,0.0,0.0,4.0,17878,83553,0.522360,0.000838
14,27,0.522,1.44,8810,0,1209174.625,4477.0,136,0.000000,0.174,0.0,0.0,4.0,19004,84594,0.521628,0.000816
15,28,0.523,1.44,8890,0,1209174.625,4477.0,144,0.000000,0.180,0.0,0.0,4.0,20119,85623,0.522474,0.000828
16,29,0.522,1.44,8802,0,1209174.625,4477.0,152,0.000000,0.159,0.0,0.0,4.0,21242,86662,0.521459,0.000826
17,30,0.523,1.44,8830,0,1209174.625,4477.0,160,0.000000,0.176,0.0,0.0,4.0,22363,87699,0.522228,0.000861
18,31,0.523,1.44,8849,0,1209174.625,4477.0,168,0.000000,0.178,0.0,0.0,4.0,23487,88738,0.521977,0.000877
19,32,0.523,1.44,8788,0,1209174.625,4477.0,176,0.000000,0.165,0.0,0.0,4.0,24612,89777,0.522602,0.000833
20,33,0.523,1.44,8786,0,1209174.625,4477.0,184,0.000000,0.169,0.0,0.0,4.0,25739,90819,0.521904,0.000906
21,34,0.523,1.44,8761,0,1209174.625,4477.0,192,0.000000,0.164,0.0,0.0,4.0,26868,91864,0.521790,0.000807
22,35,0.522,1.44,8815,0,1209174.625,4477.0,200,0.000000,0.166,0.0,0.0,4.0,27992,92902,0.521575,0.000871
23,36,0.523,1.44,8872,0,1209174.625,4477.0,208,0.000000,0.170,0.0,0.0,4.0,29109,93936,0.522282,0.000804
24,37,0.523,1.44,9132,0,1209174.625,4477.0,216,0.000000,0.169,0.0,0.0,4.0,30197,94943,0.522589,0.000832
25,38,0.522,1.44,10037,0,1209174.625,4477.0,224,0.0,0.172,0.0,0.0,4.0,31198,95867,0.521387,0.000840
26,39,0.523,1.44,9994,0,1209174.625,4477.0,232,0.0,0.179,0.0,0.0,4.0,32191,96784,0.522103,0.000861
27,40,0.523,1.44,9847,0,1209174.625,4477.0,240,0.0,0.183,0.0,0.0,4.0,33193,97709,0.522129,0.000864
28,41,0.523,1.44,10017,0,1209174.625,4477.0,248,0.0,0.176,0.0,0.0,4.0,34185,98625,0.522107,0.000870
29,42,0.523,1.44,9929,0,1209174.625,4477.0,256,0.0,0.178,0.0,0.0,8.0,35187,99548,0.522315,0.000873
30,43,0.523,1.44,9963,0,1209174.625,4477.0,264,0.0,0.174,0.0,0.0,8.0,36187,100471,0.522039,0.000856
31,44,0.523,1.44,9965,0,1209174.625,4477.0,272,0.0,0.171,0.0,0.0,8.0,37180,101391,0.522135,0.000880
32,45,0.523,1.44,9941,0,1209174.625,4477.0,280,0.0,0.165,0.0,0.0,8.0,38177,102315,0.521936,0.000876
33,46,0.523,1.44,9915,0,1209174.625,4477.0,288,0.0,0.172,0.0,0.0,8.0,39178,103240,0.521796,0.000858
